FilePath,ModificationKind,ChangeCount
impl/src/test/java/org/dukecon/server/conference/JavalandDataExtractorSpec.groovy,M,3
api/src/main/java/org/dukecon/model/Resources.java,A,3
impl/src/main/java/org/dukecon/server/services/ResourceServiceImpl.java,A,3
impl/src/main/java/org/dukecon/server/adapter/LocalResourceDataProvider.groovy,A,3
impl/src/test/java/org/dukecon/server/gui/DetailPageIT.java,R,3
impl/src/main/webapp/WEB-INF/templates/styles.ftl,A,3
impl/src/test/java/org/dukecon/server/business/TalkProviderSpec.groovy,A,3
impl/src/main/java/org/dukecon/server/filter/FiltersService.groovy,R,3
impl/src/test/java/org/dukecon/server/business/TalkProviderIntegrationSpec.groovy,R,3
impl/src/main/java/org/dukecon/server/favorites/PreferencesRepository.groovy,R,3
impl/src/test/java/org/dukecon/server/conference/EventProviderSpec.groovy,A,2
impl/src/main/resources/herbstcampus-2016/images/5273_1.jpg,A,2
impl/src/main/resources/javaland-2017.raw,A,2
impl/src/docs/asciidoc/index.adoc,A,2
impl/src/main/resources/herbstcampus-2016/images/5205_1.jpg,A,2
api/src/main/resources/raml/dukecon.raml,R,2
impl/src/main/java/org/dukecon/server/service/AbstractPreferencesService.groovy,A,2
impl/src/test/java/org/dukecon/server/business/JavalandDataExtractorSpec.groovy,A,2
impl/src/test/java/org/dukecon/server/javaland/JavalandDataExtractorSpec.groovy,M,2
impl/src/test/java/org/dukecon/server/business/TalkProviderSpec.groovy,D,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusAudienceMapper.groovy,D,2
impl/src/main/resources/herbstcampus-2016/images/5277_1.jpg,A,2
impl/src/main/resources/herbstcampus-2016/images/5281_1.jpg,A,2
impl/src/main/resources/herbstcampus-2016/images/5234_1.jpg,A,2
impl/src/main/resources/herbstcampus-2016/images/5214_2.jpg,A,2
impl/src/test/resources/javaland-speaker-2016.raw,A,2
impl/src/main/java/org/dukecon/server/javaland/JavalandDataProviderHealthIndicator.groovy,D,2
api/src/main/java/org/dukecon/adapter/ResourceWrapper.java,A,2
impl/src/main/java/org/dukecon/server/business/JavalandDataProvider.groovy,R,2
impl/src/test/java/org/dukecon/integration/DukeconServerApplicationSpec.groovy,R,2
impl/src/main/java/org/dukecon/server/adapter/RawDataResources.groovy,A,2
impl/src/main/resources/herbstcampus-2016/images/5511_1.jpg,A,2
impl/src/main/java/org/dukecon/server/conference/ConferenceDetailResource.groovy,A,2
impl/src/main/java/org/dukecon/server/adapter/sched/SchedDataProvider.groovy,A,2
impl/src/main/java/org/dukecon/server/conference/ConferencesResource.groovy,A,2
impl/src/main/resources/herbstcampus-2016/images/5217_1.jpg,A,2
api/src/main/java/org/dukecon/model/Location.java,R,2
impl/src/main/resources/db/migration/h2/V1__init.sql,R,2
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseSpeakerMapper.groovy,R,2
impl/src/main/java/org/dukecon/server/adapter/DefaultRawDataResource.groovy,M,2
impl/src/main/java/org/dukecon/server/utils/amf/Amf0Output.java,A,2
impl/src/main/java/org/dukecon/server/services/ConferenceServiceImpl.java,A,2
impl/src/test/java/org/dukecon/integration/DukeConServerApplicationTests.groovy,R,2
impl/src/main/java/org/dukecon/server/adapter/WebResourceDataProvider.groovy,A,2
impl/src/test/java/org/dukecon/server/conference/adpater/doag/SpeakerImageServiceTests.groovy,A,2
impl/src/main/java/org/dukecon/server/service/NoAuthPreferencesServices.groovy,A,2
impl/src/main/resources/jfs-2016-final-finished-conf.raw,A,2
impl/src/main/resources/herbstcampus-2016/images/5285_1.jpg,A,2
impl/src/main/java/org/dukecon/server/conference/EventBookingResource.groovy,A,2
impl/src/main/java/org/dukecon/server/conference/ConferencesConfigurationService.groovy,A,2
api/src/main/java/org/dukecon/model/EventType.java,A,2
impl/src/main/resources/herbstcampus_2016_veranstaltungen_20160826.csv,D,2
impl/src/main/resources/demotalks.json,A,2
impl/src/main/java/org/dukecon/server/adapter/RawDataMapper.groovy,A,2
impl/src/main/java/org/dukecon/server/favorites/NoAuthPreferencesService.groovy,R,2
impl/src/main/resources/herbstcampus-2016/images/5289_1.jpg,A,2
impl/src/main/resources/herbstcampus-2016/images/5173_1.jpg,A,2
impl/src/main/java/org/dukecon/server/utils/amf/FlexASTranslator.java,A,2
impl/src/main/java/org/dukecon/server/utils/amf/Serializer.java,A,2
impl/src/main/java/org/dukecon/server/core/MetaService.java,R,2
impl/src/main/resources/herbstcampus-2016/images/5234_2.jpg,A,2
impl/src/main/java/org/dukecon/server/utils/amf/AmfEndpoint.java,A,2
impl/src/test/java/org/dukecon/server/business/MetaDataLookupSpec.groovy,D,2
impl/src/main/resources/herbstcampus-2016/herbstcampus_2016_veranstaltungen_20160826.csv,A,2
impl/src/main/java/org/dukecon/server/adapter/doag/DoagJsonMapper.groovy,A,2
impl/src/main/resources/herbstcampus-2016/images/5511_2.jpg,A,2
impl/src/main/resources/herbstcampus-2016/images/5280_1.jpg,A,2
impl/src/main/java/org/dukecon/server/speaker/SpeakerImageService.groovy,M,2
mvnw,M,2
impl/src/test/java/org/dukecon/server/javaland/JavalandDataRemoteSpec.groovy,M,2
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseCsvInput.groovy,R,2
impl/src/main/resources/herbstcampus-2016/images/5217_2.jpg,A,2
impl/src/main/resources/application-postgresql-test.properties,A,2
pom.xml,A,2
impl/src/main/java/org/dukecon/server/service/TalkService.java,A,2
api/pom.xml,A,2
impl/src/main/resources/application-noauth.properties,A,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusStreamMapper.groovy,A,2
impl/src/main/resources/herbstcampus-2016/images/5138_1.jpg,A,2
impl/src/main/java/org/dukecon/server/adapter/doag/DoagSingleSpeakerMapper.groovy,A,2
impl/src/test/java/org/dukecon/server/conference/adpater/doag/DoagSpeakerDataExtractorSpec.groovy,D,2
api/src/main/java/org/dukecon/services/ConferenceService.java,M,2
impl/src/main/java/org/dukecon/server/favorites/AbstractPreferencesService.groovy,M,2
impl/src/main/resources/herbstcampus-2016/images/5164_1.jpg,A,2
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseMetaDataMapper.groovy,R,2
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseAbstractEntityMapper.groovy,R,2
impl/src/main/resources/herbstcampus-2016/images/5246_1.jpg,A,2
impl/src/main/java/org/dukecon/server/adapter/sched/SchedDataExtractor.groovy,A,2
impl/src/test/java/org/dukecon/server/conference/adpater/WebResourceDataProviderHealthIndicatorSpec.groovy,R,2
impl/src/main/resources/herbstcampus-2016/images/5250_1.jpg,A,2
impl/src/main/resources/herbstcampus-2016/images/5267_1.jpg,A,2
