Author,FileType,WordsByAuthorByFileType
Niko Köbler,gitignore,"[[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n\n"",""BY"",""GERD"",""ASCHEMANN\n"",""VIA"",""GERD"",""ASCHEMANN\n*"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER:\n"",""UPDATE"",""README.MD\n"",""ADDED"",""VERSIONEYE"",""DEPENDENCY"",""STATUS\n"",""MAKE"",""VERSIONEYE"",""HAPPY\n""],[""ADD"",""IDEA"",""SETTINGS"","".GITIGNORE\n""]]"
Alexander Schwartz,mvn/wrapper/maven-wrapper,"[[""ADDING"",""MAVEN"",""WRAPPER"",""MAKE"",""ENABLE"",""BUILD"",""DUKECON"",""INFRA\n""],[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Dirk Mahler,md,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,properties,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""],[""MERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\n""],[""INITIAL"",""SPRING"",""BOOT"",""SETUP\n""],[""MERGED\n""],[""REFACTORED"",""DIVIDE"",""BETWEEN"",""PROD"",""TEST"",""ENV"",""POSTGRESQL\n""],[""FINISHED"",""POSTGRESQL"",""CONFIGURATION\nRENAMING"",""COLUMNS"",""TABLES\nFLYWAY"",""CORRECTIONS\n""],[""MERGE"",""REQUEST"",""15"",""DUKECON/METADATA\n\nMETADATA""],[""REFACTORING"",""META"",""DATA"",""EXTRACTION\n""],[""MERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATA""],[""MERGE"",""REQUEST"",""18"",""DUKECON/METADATA\n\nFIXED"",""MISSING"",""TRACK"",""INFORMATION"",""TALK"",""ADDED"",""SPEAKER"",""ID""],[""MERGE"",""REQUEST"",""20"",""DUKECON/METADATA\n\nADDED"",""SPEAKER"",""REST"",""SERVICE"",""MOVED"",""ALL"",""CURRENT"",""REST"",""SERVICES"",""UNDER"",""CONFERENCE""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\n""],[""CHANGED"",""NOT"",""FOUND"",""RETURN"",""TYPE"",""IF"",""CONFERENCE"",""NOT"",""EXISTS\n"",""46"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER/ISSUES/46\n""],[""MERGE"",""REQUEST"",""21"",""DUKECON/METADATA\n\nADDED"",""TALK"",""LIST"",""SPEAKER""],[""REDESIGNED"",""CONFERENCESERVICE"",""ROOT"",""SUB"",""RESOURCE"",""REST/CONFERENCES"",""NOW"",""DELIVERS"",""OBJECT"",""PER"",""CONFERENCE\n""],[""REACTIVATED"",""INIT.JSON"",""DEVELOPMENT\n""],[""ADDED"",""ICONS"",""METADATA\n""],[""CHANGED"",""FULLBOOKEDRESOURCE"",""ADMINRESOURCE"",""ADDED"",""EVENTBOOKINGRESOURCE\n""],[""REST"",""SERVICE"",""USER"",""FILTERS"",""ADDED\n""],[""CHANGED"",""2016"",""JAVALAND"",""INPUT"",""FILE\n""],[""MERGE"",""REQUEST"",""19"",""DUKECON/METADATA\n\nCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRING""],[""INTERMEDIATE"",""STATE"",""REFACTORING"",""MULTITENANT"",""DATA"",""PROVIDER\n""],[""RENAMED"",""POSTGRESQL"",""DEFAULT"",""DB"",""NAME\n""],[""CALCULATING"",""PARTITION"",""EVENTS"",""CLOCK"",""SLICES"",""SERVER"",""SIDE"",""EVENT"",""SLICES"",""SLICEDEVENTS"",""AS"",""REST"",""SERVICE\n""],[""UNUSED"",""FLYWAY"",""CONFIG"",""PARAMS"",""REMOVED\n""],[""SECURED"",""ADMIN"",""REST"",""INTERFACE\n""]]"
Alexander Schwartz,java,"[[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\n""],[""MOVE"",""TESTING"",""FIREFOX"",""ADDING"",""FIRST"",""KEYCLOAK"",""TEST\n""],[""MERGE"",""SELENIUM"",""TESTS"",""FAIL"",""WITH"",""NEW"",""FIREFOX"",""DEVELOP\n""],[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""],[""FIXED"",""FAILING"",""TEST"",""AFTER"",""UI"",""ELEMENT"",""HAD"",""BEEN"",""RENAMED\n""],[""INCREASE"",""TIMEOUTS"",""BOTH"",""LOADING"",""GUI"",""TESTING\n""],[""MAKE"",""SELENIUM"",""TESTS"",""ROBUST\n""],[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n""],[""MERGE"",""FIX"",""GUITEST"",""COOKIEPOPUP"",""RELEASE/1.1\n""],[""MERGE"",""FIX"",""GUI"",""TALKCELL"",""DEVELOP\n""],[""NOW"",""WORKSHOP"",""DAY"",""PRESENT\n""],[""CLICK"",""COOKIE"",""DISCLAIMER"",""START"",""PAGE\n""],[""FIXING"",""HTML"",""CHANGE"",""PAGE"",""PAGE"",""MODEL\n""],[""UPDATE"",""FIREFOX"",""DRIVER"",""2.53.1"",""CLEAN"",""PHANTOMJS"",""SELENIUM"",""TESTS"",""CLOSES"",""42\n""],[""MERGE"",""FIX"",""GUITEST"",""COOKIEPOPUP"",""DEVELOP\n""],[""ADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG"",""STORING"",""LATEST"",""SUCCESSFUL"",""RESPONSE"",""DISK"",""CLEANUP"",""TALKOLD.\n""]]"
Gerd Aschemann,png,"[[""MERGE"",""FEATURE/BLAZEDS"",""SERVER"",""DEVELOP\n""]]"
Dirk Mahler,java,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Alexander Schwartz,md,"[[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\n""],[""ADDED"",""HEALTH"",""CHECK"",""SPRING"",""BOOT"",""STYLE\n""],[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""],[""ALLOW"",""ADMINS"",""REFRESH"",""CACHE"",""BY"",""USING"",""SPECIAL"",""SECURED"",""URL"",""8\n""]]"
Gerd Aschemann,xml,"[[""MOVED"",""LOT"",""STUFF"",""PLUGIN"",""DEPENDENCYMANAGEMENT"",""REACTOR\n""],[""INTRODUCED"",""MAVEN"",""DEPENDENCY"",""ANALYSIS"",""ADDED/SCOPE"",""CLEANED"",""LOT"",""DEPS\n""],[""USING"",""MULTI"",""MODULE"",""MAVEN"",""RELEASE"",""PLUGIN"",""AKA"",""RELEASER"",""PLUGIN"",""\n""],[""[MAVEN"",""RELEASE"",""PLUGIN]"",""PREPARE"",""NEXT"",""DEVELOPMENT"",""ITERATION\n""],[""MAKE"",""VERSIONEYE"",""HAPPY"",""\n""],[""DROPPED"",""METRICS"",""LOGGER\n""],[""ADDED"",""TWITTER"",""HANDLES\n""],[""UPDATED"",""GROOVY"",""LATEST"",""VERSION\n""],[""MERGE"",""DEVELOP"",""FEATURE/TWITTER\n""],[""STARTED"",""DEVELOPMENT"",""NEXT"",""VERSION\n""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""],[""FIX:"",""REPLACE"",""PLACEHOLDER"",""BY"",""CONCRETE"",""VALUE"",""SNAPSHOT"",""DEPENDENCY"",""RELEASER"",""CONFIGURATION"",""\n""],[""FIX"",""LOGGING"",""CF"",""SPRING"",""PROJECTS/SPRING"",""BOOT"",""4489"",""\n\n"",""DO"",""NOT"",""LOAD"",""BASE"",""CONFIGURATION"",""BUT"",""ONLY"",""DEFAULTS\n"",""LOAD"",""LOCAL"",""LOGGING"",""PROPERTIES"",""FIRST\n""],[""UPDATE"",""JACKSON"",""PROPERTY"",""NAME"",""PROVIDE"",""COMPATIBILITY"",""HINT\n""],[""ENSURE"",""LATEST/CONSITENT"",""SELENIUM"",""VERSIONS"",""ARE"",""USED"",""...\n\n.."",""SELENIUM"",""BOM"",""IMPORT"",""MUST"",""OCCUR"",""BEFORE"",""ARQUILLIAN"",""\n""],[""ADDED"",""SERVER"",""VERSION.TXT"",""GIT"",""DATA\n""],[""FIX:"",""MAKE"",""MULTI"",""VERSION"",""MAVEN"",""RELEASE"",""PLUGIN"",""HAPPY:"",""CANNOT"",""HANDLE"",""PROPERTIES"",""CORRECTLY"",""\n""],[""MAKE"",""M2"",""ECLIPSE"",""HAPPY\n""],[""AVOID"",""MAVEN"",""ENCODING"",""WARNING\n""],[""MERGE"",""REQUEST"",""34"",""AHUS1/DEVELOP\n\nADDED"",""HEALTH"",""CHECK"",""SPRING"",""BOOT"",""STYLE""],[""MERGE"",""REQUEST"",""32"",""AHUS1/AHUS1"",""GUITEST\n\nPROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN""],[""STARTING"",""RELEASE"",""1.3\n""],[""SMALL"",""CHANGES"",""SWAGGER"",""GENERATOR\n""],[""INTRODUCED"",""MASTER"",""POM"",""MADE"",""SMALL"",""CHANGES"",""\n""],[""SWITCHED"",""JETTY"",""DUE"",""STRANGE"",""STARTUP"",""TIMING"",""PROBLEMS\n""],[""ADD"",""GENERIC"",""ARCHITECTURE"",""DOCUMENTATION\n""],[""UPDATED"",""DEPS"",""RECENT"",""VERSIONS\n""],[""MERGE"",""RELEASE/1.1"",""DEVELOP\n""],[""ADDED"",""DEVELOPERS"",""SITE"",""GENERATE\n""],[""MOVED"",""IMPLEMENTATION"",""MODULE"",""SUB"",""FOLDER\n""],[""MOVED"",""ALMOST"",""ALL"",""VERSIONS"",""PROPERTIES\n""],[""ADDED"",""KEYCLOAK"",""AS"",""AUTH"",""PROVIDER"",""NEW"",""/REST/PREFERENCES"",""\n""],[""ADDED"",""VERSIONEYE\n""],[""USE"",""LATEST"",""JQASSISTANT\n""],[""MERGE"",""FEATURE/BLAZEDS"",""SERVER"",""DEVELOP\n""],[""[MAVEN"",""RELEASE"",""PLUGIN]"",""PREPARE"",""RELEASE/1.1\n""],[""FIX:"",""REPLACE"",""PLACEHOLDER"",""BY"",""CONCRETE"",""VALUE"",""SNAPSHOT"",""DEPENDENCY\n""],[""FIX"",""MAVEN"",""TARGET"",""DIRECTORY"",""NAMES"",""VS"",""PROPERTIES\n""],[""UPDATED"",""DENDENCIES"",""NEWER"",""VERSIONS\n""],[""DAV"",""SITE"",""DEPLOYMENT"",""ALSO"",""NEEDS"",""WAGON"",""EXTENSION\n""],[""SET"",""MAVEN"",""RELEASE"",""PLUGIN"",""VERSION\n""],[""ADDED"",""USER"",""PREFERENCES"",""PERSISTENCE"",""...\n""],[""CLEAN"",""LOCAL"",""MERGE"",""PROBLEM:"",""PURGE"",""OUTDATED"",""SELENIUM"",""DEPS\n""],[""ADDED"",""LICENSE"",""POM\n""],[""BUGFIX:"",""WANTED"",""GENERATE"",""JAX"",""RS"",""2.0\n""],[""DROPPED"",""OUTDATED"",""FLEX"",""SPECIFIC"",""PLUGIN\n""],[""UPGRADE"",""SPRING"",""BOOT"",""1.3.4\n""],[""NEXUS"",""NOW"",""AVAILABLE"",""REGULAR"",""HTTP"",""PORT\n""],[""FIX:"",""RESTORED"",""MISSING"",""OVERLAY"",""WAR\n""],[""ADDED"",""API"",""MAVEN"",""BUILD"",""MOVED"",""SPRINGBOOT"",""IMPL\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n""],[""SWITCHED"",""SPRING"",""BOOT"",""1.2.5.RELEASE\n""],[""ADDED/FIXED"",""SITE"",""REPORTING\n\n"",""AVOID"",""WARNINGS"",""MISSING"",""DEPENDENCY"",""LOCATIONS\n"",""ADD"",""GITLOG"",""CHANGES\n""],[""UPDATE"",""LATEST"",""SELENIUM"",""DRIVER"",""HOPING"",""MAKE"",""BUILD"",""PROBLEMS"",""DISAPPEAR\n""],[""FIX:"",""SITE"",""URLS"",""ARE"",""DIFFERENT"",""THEY"",""NEED"",""PROTOCOL"",""EXTENSIONS"",""GRRR"",""\n""],[""FIXED"",""JAX"",""RS"",""CODEGEN"",""ISSUE\n\n"",""OLD"",""CONFIG"",""PARAM"",""SEEMS"",""BE"",""DEPRECATED"",""WITHOUT"",""WARNING"",""\n"",""REMOVED"",""COMMENTS\n""],[""MAKE"",""VERSIONEYE"",""HAPPY\n""],[""REMOVE"",""MAVEN"",""REDUNDANCIES\n""],[""MERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\n""],[""ADDED"",""SECURITY"",""SETTING"",""MAKE"",""SUREFIRE"",""FASTER\n""],[""PUBLISH"",""SITE"",""SPECIFIC"",""VERSION\n""],[""SOME"",""DEPENDENCY"",""UPDATES\n""],[""ADDED"",""HTML5"",""OVERLAY"",""CALL"",""REST"",""SERVICE\n""],[""FIX:"",""REPLACE"",""PLACEHOLDER"",""BY"",""CONCRETE"",""VALUE"",""SNAPSHOT"",""DEPENDENCY"",""RELEASER"",""CONFIGURATION"",""SUBMOD"",""ALSO"",""\n""],[""PLAYED"",""AROUND"",""GROOY"",""CODE"",""QUALITY"",""MEASUREMENT\n""],[""ADDED"",""SUREFIRE"",""REPORTS\n""],[""CLEANED"",""UP"",""VERSIONS\n""],[""SWITCHED"",""BACK"",""OLDER"",""VERSION"",""JACKSON"",""JAXRS"",""JSON"",""PROVIDER\n\nCF"",""HTTPS://GITHUB.COM/FASTERXML/JACKSON"",""JAXRS"",""PROVIDERS/ISSUES/74\n""],[""MERGE"",""MASTER"",""APIASMVN\n""],[""USE"",""VERSION"",""1.2.0"",""SNAPSHOT"",""HTML5"",""CLIENT\n""],[""MAVENIZED"",""API\n""],[""FURTHER"",""SITE"",""EXTENSIONS\n""],[""USE"",""LATEST"",""VERSION"",""ARQUILLIAN\n""],["""",""RE"",""INSERTED"",""PROPERTY"",""ARQUILLIAN"",""PHANTOM"",""BINARY\n""],[""PUBLISH"",""SITE"",""GROUP/ARTIFACT"",""SUB"",""DIRECTORY\n""],[""FIXED"",""SWAGGER"",""APISOURCE"",""INDENTATIONS"",""POM\n""],[""FIX:"",""ONE"",""S"",""OUTPUT"",""OTHER"",""S"",""INPUT\n""],[""MERGE"",""REQUEST"",""35"",""AHUS1/PERSISTENT"",""CACHE\n\nADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG""],[""ADDED"",""LOGGING"",""...\n""],[""ADDED"",""SITE"",""REPOSITORY\n""],[""IGNORE"",""DEPENDENCY"",""MANAGEMENT"",""DURING"",""VERSIONEYE"",""UPDATE\n""],[""SORTED"",""DEPENDENCIES\n""],[""SWITCHED"",""LATEST"",""SPRING"",""BOOT\n""],[""ADDED"",""DUKECON"",""NEXUS\n""],[""A"",""FIRST"",""I.E"",""HARD"",""CODED"",""IMPLEMENTATION"",""/META\n""]]"
Falk Sippach,gitattributes,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Gerd Aschemann,travis,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""],[""REGEX"",""NEEDS"",""END"",""MARK"",""\n""],[""MAYBE"",""TRAVIS"",""DOES"",""NOT"",""SPEAK"",""NEWEST"",""DIALECT"",""REGULAR"",""EXPRESSIONS"",""\n""],[""AVOID"",""BUILDING"",""GIT"",""TAGS"",""TRAVIS\n""],[""MERGE"",""REQUEST"",""35"",""AHUS1/PERSISTENT"",""CACHE\n\nADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG""],[""MERGE"",""MASTER"",""APIASMVN\n""]]"
Dirk Mahler,html,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Alexander Schwartz,properties,"[[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""],[""INCREASE"",""TIMEOUTS"",""BOTH"",""LOADING"",""GUI"",""TESTING\n""],[""ADDED"",""HEALTH"",""CHECK"",""SPRING"",""BOOT"",""STYLE\n""],[""ADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG"",""STORING"",""LATEST"",""SUCCESSFUL"",""RESPONSE"",""DISK"",""CLEANUP"",""TALKOLD.\n""],[""REMOVE"",""SURPLUS"",""CONTENT"",""PROPERTY"",""FILE\n""],[""ALLOW"",""ADMINS"",""REFRESH"",""CACHE"",""BY"",""USING"",""SPECIAL"",""SECURED"",""URL"",""8\n""],[""SPRING"",""NOW"",""RESPECTS"",""FORWARDED"",""*"",""HEADERS"",""8\n""],[""MAKING"",""PORT"",""8080"",""DEFAULT"",""OTHERWISE"",""REPLACEMENT"",""PROPERTIES"",""WILL"",""NOT"",""WORK"",""\n""]]"
Christofer Dutz,ftl,"[["""",""ADDED"",""ABILITY"",""READ"",""STYLE"",""INFORMATION"",""GIVEN"",""CONFERENCE"",""CONFERENCESERVICE\n"",""EXTENDED"",""CONFERENCE"",""REST"",""CONTROLLER"",""GENERATE"",""STYLES.CSS"",""RESOURCES"",""FLY\n""],["""",""UPDATED"",""STYLES"",""TEMPLATE\n""]]"
Dirk Mahler,ftl,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
PitTorf,yml,"[[""SCHREIBFEHLER"",""BEHOBEN\n""],[""DATAVISION"",""2017"",""HINZUGEFÜGT\n""]]"
Falk Sippach,java,"[[""ADDED"",""INIT"",""RESOURCE"",""RETRIEVING"",""CONFERENCE"",""ID"",""CONFERENCE"",""NAME"",""YEAR\n""],[""METADATA"",""EXTRACTION\n""],[""MERGE"",""REQUEST"",""23"",""DUKECON/METADATA\n\nBUGFIX"",""TALKS"",""WITHOUT"",""SPEAKER"",""CONFERENCE"",""METADATA"",""CROSSLINKED"",""NEW"",""TESTDATA"",""COMMUNITY"",""EVENTS""],[""RENAMED"",""TALKTYPE"",""EVENTTYPE\n""],[""TALKS"",""REST"",""SERVICE"",""V2"",""META"",""DATA"",""REFERENCE\nREFACTORING"",""META"",""DATA"",""LOOKUP\n""],[""MERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\n""],[""MERGE"",""REQUEST"",""15"",""DUKECON/METADATA\n\nMETADATA""],[""ADDED"",""HOMEURL"",""CONFERENCE"",""JSON"",""EXPORT\n""],[""FIXED"",""MISSING"",""TRACK"",""INFORMATION"",""TALK"",""ADDED"",""SPEAKER"",""ID\n""],[""MERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATA""],[""MERGE"",""REQUEST"",""16"",""DUKECON/METADATA\n\nMETADATA""],[""ADDED"",""FIRST"",""LASTNAME"",""CLEANED"",""UP"",""TWITTER"",""HANDLES\n""],[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""],[""REDESIGNED"",""INTERNAL"",""DATA"",""MODEL\nNEW"",""UPDATED"",""REST"",""SERVICES"",""CONFERENCE"",""METADATA"",""TALKS"",""V2"",""\n""],[""META"",""DATA"",""REST"",""SERVICE"",""IMPLEMENTED\n""],[""MERGE"",""REQUEST"",""26"",""DUKECON/METADATA\n\nRENAMED"",""ROOM"",""LOCATION""],[""REMOVED"",""OBSOLETE"",""CODE"",""AFTER"",""REFACTORING"",""METADATA"",""LOOKUP\n""],[""ADDED"",""ICONS"",""METADATA\n""],[""MERGE"",""REQUEST"",""19"",""DUKECON/METADATA\n\nCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRING""],[""SPEAKER"",""IMAGES"",""REST"",""RESOURCE\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n""],[""REFACTORING"",""RAW"",""DATA"",""RESOURCE"",""MANAGEMENT\n""],[""ADDED"",""TALK"",""LIST"",""SPEAKER\n""],[""ADDED"",""FULLYBOOKED"",""NUMBEROFFAVORITES"",""LOCATIONCAPACITY"",""MODEL\n""],[""REFACTORING/RENAMING"",""TALK"",""DATA"",""PROVIDER\n""],[""MISSING"",""RENAMINGS"",""ROOM"",""TALK"",""FIXED\n""],[""FIXED"",""COMPILER"",""BUG\n""],[""CHANGED"",""FULLBOOKEDRESOURCE"",""ADMINRESOURCE"",""ADDED"",""EVENTBOOKINGRESOURCE\n""],[""CHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRING\n""],[""CALCULATED"",""NUMBEROFFAVOURITES\n""],[""REFACTORING"",""PACKAGE"",""STRUCTURE\n""],[""RENAMED"",""ROOM"",""LOCATION\n""],[""REFERENCED"",""FOREIGN"",""KEYS"",""INSTEAD"",""OBJECTS"",""AGGREGATES"",""\n""],[""MERGE"",""REQUEST"",""21"",""DUKECON/METADATA\n\nADDED"",""TALK"",""LIST"",""SPEAKER""],[""REFACTORING"",""META"",""DATA"",""EXTRACTION\n""],[""RENAMED"",""TALK"",""EVENT\n""],[""BUGFIX"",""TALKS"",""WITHOUT"",""SPEAKER\nCONFERENCE"",""METADATA"",""CROSSLINKED\nNEW"",""TESTDATA"",""COMMUNITY"",""EVENTS\n""],[""BIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\n""],[""REST"",""SERVICE"",""USER"",""FILTERS"",""ADDED\n""],[""INTERMEDIATE"",""STATE"",""READING"",""CONFERENCE"",""RESOURCES"",""WORKING"",""JAVALAND"",""2016"",""2017\n""],[""MERGE"",""REQUEST"",""18"",""DUKECON/METADATA\n\nFIXED"",""MISSING"",""TRACK"",""INFORMATION"",""TALK"",""ADDED"",""SPEAKER"",""ID""],[""MERGE"",""REQUEST"",""20"",""DUKECON/METADATA\n\nADDED"",""SPEAKER"",""REST"",""SERVICE"",""MOVED"",""ALL"",""CURRENT"",""REST"",""SERVICES"",""UNDER"",""CONFERENCE""],[""MERGE"",""REQUEST"",""25"",""DUKECON/METADATA\n\nADDED"",""CONFERENCE"",""ID"",""RESOURCE"",""PATH""],[""RENAMED"",""WILLBECOMEFULL"",""VERYPOPULAR"",""TESTS"",""FIXED\n""],[""REDESIGNED"",""CONFERENCESERVICE"",""ROOT"",""SUB"",""RESOURCE"",""REST/CONFERENCES"",""NOW"",""DELIVERS"",""OBJECT"",""PER"",""CONFERENCE\n""],[""ADDED"",""SPEAKER"",""REST"",""SERVICE"",""MOVED"",""ALL"",""CURRENT"",""REST"",""SERVICES"",""UNDER"",""CONFERENCE\n""],[""CALCULATING"",""PARTITION"",""EVENTS"",""CLOCK"",""SLICES"",""SERVER"",""SIDE"",""EVENT"",""SLICES"",""SLICEDEVENTS"",""AS"",""REST"",""SERVICE\n""],[""ADDED"",""LANGUAGES"",""ROOMS\n""],[""JAVALAND"",""SPEAKER"",""INFORMATION"",""ADDED\n""],[""FIELD"",""SIMULTAN"",""ADDED\n""],[""FIXED"",""TESTS\n""],[""NEW"",""EVENT"",""FIELD"",""WILLBECOMEFULL"",""MAPPING"",""MAPPING"",""CAPACITY"",""TESTS"",""FIXED\n""],[""MOVED"",""TRACKS"",""ROOMS"",""CONFERENCE"",""METADATA"",""KEEP"",""ALL"",""METADATA"",""AT"",""ONE"",""PLACE\n""],[""MERGED\n""],[""ADDED"",""CORS"",""FILTER\n""],[""ADDED"",""ADMIN"",""REST"",""RESOURCE"",""SETTING"",""FULLYBOOKED"",""FLAG\n""],[""MERGE"",""REQUEST"",""27"",""DUKECON/METADATA\n\nFIXED"",""COMPILER"",""BUG""],[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Falk Sippach,md,"[[""H2"",""DATABASE"",""WEB"",""CONSOLE"",""INTEGRATED\n""],[""FIXED"",""DEPENDENCY"",""WARNINGS\n""],[""REFACTORED"",""DIVIDE"",""BETWEEN"",""PROD"",""TEST"",""ENV"",""POSTGRESQL\n""],[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""],[""FIXED"",""TRAVIS"",""LINK""],[""MERGE"",""REQUEST"",""26"",""DUKECON/METADATA\n\nRENAMED"",""ROOM"",""LOCATION""],[""REST"",""SERVICE"",""USER"",""FILTERS"",""ADDED\n""],[""RENAMED"",""ROOM"",""LOCATION\n""]]"
Niko Köbler,java,"[[""ADD"",""CREATED"",""MODEL"",""BE"",""ABLE"",""GET"",""RID"",""GENERATED"",""STUFF"",""\n""],[""REMOVED"",""DEPENDENCY"",""API"",""PROJECT"",""USING"",""OWN"",""MODEL"",""SERVICE"",""CLASSES\nTHIS"",""C"",""LEAN\n""]]"
Gerd Aschemann,bat,"[[""MERGE"",""REQUEST"",""32"",""AHUS1/AHUS1"",""GUITEST\n\nPROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
